sample_origin,repo,test_id,framework,line,name,raw_code,value_summary,input_source_class,input_plausibility,input_plausibility_paper_label,value_visibility,input_channel,field_context,input_target_role_ast,input_target_context_ast,input_value_expression_kind_ast,input_endpoint_construction_ast,input_origin_kind,input_origin_evidence,external_file_path,field_path,linked_definition_file,linked_definition_line,input_evidence_basis,review_reason,manual_source_ok,manual_plausibility_ok,manual_plausibility_should_be,manual_notes
all_events_stratified,mattermost/mattermost,f8738f3f9a4cd54c9586df5c74c59d4c,Cypress,209,input:type:otherAdmin.password,cy.get('input[type=password]').eq(0).type(otherAdmin.password),otherAdmin.password,api_seed_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,input[type=password],credential_or_config_field,input[type=password],member_expression,,api_response_callback_param_member,otherAdmin = sysadmin,,,e2e-tests/cypress/tests/integration/channels/system_console/user_management/users_spec.js,26,ast_callee_name_heuristic,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,mattermost/mattermost,39fff10d82c780c4cee1bc95e97f4af6,Cypress,375,input:type:teamName,cy.get('#teamNameInput').type(teamName),teamName,api_seed_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,team Name Input,domain_text_field,#teamNameInput,identifier,,member_from_bound_root,teamName = team.name,,,e2e-tests/cypress/tests/integration/channels/integrations/integrations_search_gives_feedback_spec.js,20,ast_callee_name_heuristic,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,mattermost/mattermost,9798481baef9bddb4a9fb2cf835fa051,Cypress,344,input:type:user.email,cy.get('#okta-signin-username').type(user.email),user.email,api_seed_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,okta signin username,domain_text_field,#okta-signin-username,member_expression,,api_response_callback_param_member,cy.apiLogin(ldapUser),,,e2e-tests/cypress/tests/support/api/ldap.js,40,ast_callee_name_heuristic,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,mattermost/mattermost,ba33a8849e9656e04886ad009c182358,Cypress,73,input:type:testChannelName,"cy.findByRole('combobox', {name: 'quick switch input'}).type(testChannelName)",testChannelName,api_seed_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,combobox,unknown,combobox,identifier,,member_from_bound_root,testChannelName = out.channel.display_name,,,e2e-tests/cypress/tests/integration/channels/messaging/focus_move_spec.js,24,ast_callee_name_heuristic,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,mattermost/mattermost,db4e6361f45c409866a9dce711b643d7,Cypress,404,input:type:user.password,cy.findByText('Password').type(user.password),user.password,api_seed_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,Password,credential_or_config_field,Password,member_expression,,api_response_callback_param_member,cy.apiLogin(ldapUser),,,e2e-tests/cypress/tests/support/api/ldap.js,40,ast_callee_name_heuristic,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,mattermost/mattermost,bdf9be0b79fcd0a2e0bbf355035789f4,Cypress,404,input:type:user.password,cy.findByText('Password').type(user.password),user.password,api_seed_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,Password,credential_or_config_field,Password,member_expression,,api_response_callback_param_member,cy.apiLogin(ldapUser),,,e2e-tests/cypress/tests/support/api/ldap.js,40,ast_callee_name_heuristic,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,mattermost/mattermost,c7955b181ebf6ea9bf4ddebbee2218b2,Cypress,375,input:type:teamName,cy.get('#teamNameInput').type(teamName),teamName,api_seed_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,team Name Input,domain_text_field,#teamNameInput,identifier,,member_from_bound_root,teamName = team.display_name,,,e2e-tests/cypress/tests/integration/channels/enterprise/ldap_group/team_and_channel_assign_roles_spec.ts,62,ast_callee_name_heuristic,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,mattermost/mattermost,853338b348a6f13d129e5615c4a911e1,Playwright,497,input:fill:channelName,searchInput.fill(channelName),channelName,api_seed_input,domain_plausible_input,domain_plausible_input,opaque,ui_text_entry,,unknown,,identifier,,member_from_bound_root,channelName = channel.display_name,,,e2e-tests/cypress/tests/integration/channels/channel_sidebar/drag_and_drop_spec.ts,31,ast_callee_name_heuristic,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,mattermost/mattermost,d7fa1c86b451ab345415463547b77e0d,Cypress,128,input:type:url,cy.get('#url').type(url),url,api_seed_input,technical_or_control_input,technical_or_configuration_or_control_input,opaque,ui_text_entry,url,endpoint_or_resource_config_field,#url,identifier,resource_config_identifier,api_response_callback_param,cy.apiInitSetup(),,,e2e-tests/cypress/tests/integration/channels/collapsed_reply_threads/last_viewed_spec.ts,34,ast_callee_name_heuristic,,correct,correct,n/a,Source and plausibility labels are acceptable.
all_events_stratified,mattermost/mattermost,d7fa1c86b451ab345415463547b77e0d,Cypress,109,input:type:url,cy.get('#url').type(url),url,api_seed_input,technical_or_control_input,technical_or_configuration_or_control_input,opaque,ui_text_entry,url,endpoint_or_resource_config_field,#url,identifier,resource_config_identifier,api_response_callback_param,cy.apiInitSetup(),,,e2e-tests/cypress/tests/integration/channels/collapsed_reply_threads/last_viewed_spec.ts,34,ast_callee_name_heuristic,,correct,correct,n/a,Source and plausibility labels are acceptable.
