repo,test_id,framework,locator_event_count,ui_action_count,dominant_locator_strategy,sync_event_count,sync_pattern_counts_json,workflow_event_count,abstraction_kind_counts_json,workflow_archetype,workflow_archetype_basis,workflow_archetype_final,workflow_archetype_final_basis,top_workflow_evidence_json,top_two_workflow_sources,manual_workflow_archetype_ok,manual_workflow_archetype_should_be,manual_notes,event_snippet,snippet_truncated,file_path,enclosing_function_or_helper_snippet,test_body_context_snippet
mattermost/mattermost,952e8b1ad290a8579ca80586a5756686,Cypress,2,9,css_selector,3,"{""assertion_retry_wait"": 2, ""predicate_or_custom_condition"": 1}",62,"{""hook_setup_flow"": 1, ""domain_helper"": 51, ""cypress_custom_command"": 10}",framework_extension_centric,dominant_source:hook_ui,framework_extension_centric,deterministic_llm_guard,"[{""source"": ""helper_calls"", ""count"": 5}, {""source"": ""cypress_command_ui"", ""count"": 4}, {""source"": ""hook_ui"", ""count"": 3}, {""source"": ""test_body_ui"", ""count"": 2}]","[{""count"": 4, ""share"": 0.444444, ""source"": ""cypress_command_ui""}, {""count"": 3, ""share"": 0.333333, ""source"": ""hook_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
UI5/webcomponents,5a76799d0c290d274a1cedf128d05e9d,Cypress,20,21,custom_locator_helper,6,"{""assertion_retry_wait"": 6}",24,"{""cypress_custom_command"": 24}",framework_extension_centric,dominant_source:cypress_command_ui,framework_extension_centric,deterministic,"[{""source"": ""cypress_command_ui"", ""count"": 19}, {""source"": ""test_body_ui"", ""count"": 2}]","[{""count"": 19, ""share"": 0.904762, ""source"": ""cypress_command_ui""}, {""count"": 2, ""share"": 0.095238, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
graphile/starter,4c136214a9fc8a41667f032375b9e2a9,Cypress,1,3,css_selector,3,"{""assertion_retry_wait"": 3}",8,"{""cypress_custom_command"": 3, ""domain_helper"": 5}",framework_extension_centric,dominant_source:cypress_command_ui,framework_extension_centric,deterministic,"[{""source"": ""cypress_command_ui"", ""count"": 2}, {""source"": ""test_body_ui"", ""count"": 1}]","[{""count"": 2, ""share"": 0.666667, ""source"": ""cypress_command_ui""}, {""count"": 1, ""share"": 0.333333, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
mattermost/mattermost,7ba402a800c34d0828df8c94139317b7,Cypress,17,23,role_or_accessibility,13,"{""assertion_retry_wait"": 12, ""fixed_delay"": 1}",95,"{""unresolved_helper"": 3, ""domain_helper"": 69, ""cypress_custom_command"": 23}",framework_extension_centric,dominant_source:cypress_command_ui,framework_extension_centric,deterministic,"[{""source"": ""test_body_ui"", ""count"": 10}, {""source"": ""cypress_command_ui"", ""count"": 10}, {""source"": ""helper_calls"", ""count"": 8}, {""source"": ""hook_ui"", ""count"": 3}, {""source"": ""unresolved_helper_calls"", ""count"": 3}]","[{""count"": 10, ""share"": 0.434783, ""source"": ""cypress_command_ui""}, {""count"": 10, ""share"": 0.434783, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
mattermost/mattermost,76e6d3b9b4520218a5e38973d61073d4,Cypress,28,35,css_selector,17,"{""assertion_retry_wait"": 15, ""fixed_delay"": 2}",101,"{""domain_helper"": 37, ""hook_setup_flow"": 9, ""cypress_custom_command"": 55}",framework_extension_centric,dominant_source:cypress_command_ui,framework_extension_centric,deterministic,"[{""source"": ""cypress_command_ui"", ""count"": 30}, {""source"": ""helper_calls"", ""count"": 8}, {""source"": ""test_body_ui"", ""count"": 3}, {""source"": ""hook_ui"", ""count"": 2}]","[{""count"": 30, ""share"": 0.857143, ""source"": ""cypress_command_ui""}, {""count"": 3, ""share"": 0.085714, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
UI5/webcomponents,6507c899fb50bf78872a2178fc45994b,Cypress,17,18,custom_locator_helper,6,"{""assertion_retry_wait"": 6}",21,"{""unresolved_helper"": 3, ""cypress_custom_command"": 18}",framework_extension_centric,dominant_source:cypress_command_ui,framework_extension_centric,deterministic,"[{""source"": ""test_body_ui"", ""count"": 9}, {""source"": ""cypress_command_ui"", ""count"": 9}, {""source"": ""unresolved_helper_calls"", ""count"": 3}]","[{""count"": 9, ""share"": 0.5, ""source"": ""cypress_command_ui""}, {""count"": 9, ""share"": 0.5, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
cypress-io/cypress-realworld-app,62ca8aaa2fdb558d7d313df78bde6faf,Cypress,8,17,custom_locator_helper,9,"{""network_wait"": 3, ""assertion_retry_wait"": 6}",15,"{""cypress_custom_command"": 14, ""domain_helper"": 1}",framework_extension_centric,dominant_source:cypress_command_ui,framework_extension_centric,deterministic,"[{""source"": ""test_body_ui"", ""count"": 7}, {""source"": ""cypress_command_ui"", ""count"": 7}, {""source"": ""hook_ui"", ""count"": 3}]","[{""count"": 7, ""share"": 0.411765, ""source"": ""cypress_command_ui""}, {""count"": 7, ""share"": 0.411765, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
UI5/webcomponents,ad365c8000c0a176e97039fb79f220e1,Cypress,6,8,custom_locator_helper,1,"{""assertion_retry_wait"": 1}",6,"{""cypress_custom_command"": 6}",framework_extension_centric,dominant_source:cypress_command_ui,framework_extension_centric,deterministic,"[{""source"": ""test_body_ui"", ""count"": 4}, {""source"": ""cypress_command_ui"", ""count"": 4}]","[{""count"": 4, ""share"": 0.5, ""source"": ""cypress_command_ui""}, {""count"": 4, ""share"": 0.5, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
UI5/webcomponents,d16c13407237e42153d1d79c45f2fe43,Cypress,6,7,custom_locator_helper,3,"{""assertion_retry_wait"": 3}",10,"{""domain_helper"": 3, ""cypress_custom_command"": 7}",framework_extension_centric,dominant_source:cypress_command_ui,framework_extension_centric,deterministic,"[{""source"": ""cypress_command_ui"", ""count"": 5}, {""source"": ""test_body_ui"", ""count"": 2}]","[{""count"": 5, ""share"": 0.714286, ""source"": ""cypress_command_ui""}, {""count"": 2, ""share"": 0.285714, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
ionic-team/ionic-framework,87a4c1ee947be1f3eee6832c0386e4b8,Cypress,10,11,custom_locator_helper,10,"{""fixed_delay"": 3, ""assertion_retry_wait"": 7}",11,"{""cypress_custom_command"": 10, ""domain_helper"": 1}",framework_extension_centric,dominant_source:hook_ui,framework_extension_centric,deterministic_llm_guard,"[{""source"": ""cypress_command_ui"", ""count"": 6}, {""source"": ""hook_ui"", ""count"": 5}]","[{""count"": 6, ""share"": 0.545455, ""source"": ""cypress_command_ui""}, {""count"": 5, ""share"": 0.454545, ""source"": ""hook_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
nhn/tui.grid,c26e1a31c76e310f95c86a640334e7fc,Cypress,3,4,css_selector,1,"{""assertion_retry_wait"": 1}",6,"{""domain_helper"": 2, ""page_object"": 1, ""cypress_custom_command"": 3}",helper_mediated,dominant_source:hook_ui,helper_mediated,deterministic_llm_guard,"[{""source"": ""helper_ui"", ""count"": 3}, {""source"": ""helper_calls"", ""count"": 2}, {""source"": ""hook_ui"", ""count"": 1}]","[{""count"": 3, ""share"": 0.75, ""source"": ""helper_ui""}, {""count"": 1, ""share"": 0.25, ""source"": ""hook_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
mermaid-js/mermaid,fb99823350221d59f80d981ba26531e9,Cypress,0,0,,0,{},1,"{""domain_helper"": 1}",helper_mediated,no_ui_workflow_evidence,helper_mediated,deterministic_llm_guard,"[{""source"": ""helper_calls"", ""count"": 1}]",[],correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
porsche-design-system/porsche-design-system,c68b95e30e7be2d0b28068fe6a92cf92,Playwright,0,0,,0,{},1,"{""domain_helper"": 1}",helper_mediated,no_ui_workflow_evidence,helper_mediated,deterministic_llm_guard,"[{""source"": ""helper_calls"", ""count"": 1}]",[],correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
nhn/tui.grid,84e562680a04f0529be8499e2e0ab296,Cypress,4,5,css_selector,3,"{""assertion_retry_wait"": 2, ""fixed_delay"": 1}",9,"{""domain_helper"": 4, ""page_object"": 1, ""cypress_custom_command"": 4}",helper_mediated,dominant_source:hook_ui,helper_mediated,deterministic_llm_guard,"[{""source"": ""helper_ui"", ""count"": 3}, {""source"": ""helper_calls"", ""count"": 2}, {""source"": ""hook_ui"", ""count"": 1}, {""source"": ""cypress_command_ui"", ""count"": 1}]","[{""count"": 3, ""share"": 0.6, ""source"": ""helper_ui""}, {""count"": 1, ""share"": 0.2, ""source"": ""hook_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
porsche-design-system/porsche-design-system,141d9c38c0293d3b30944345aaab6273,Playwright,0,1,,0,{},2,"{""domain_helper"": 2}",helper_mediated,dominant_source:helper_ui,helper_mediated,deterministic,"[{""source"": ""helper_ui"", ""count"": 1}, {""source"": ""helper_calls"", ""count"": 1}]","[{""count"": 1, ""share"": 1.0, ""source"": ""helper_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
documenso/documenso,91981d834e12e158de48d2de83c3d39e,Playwright,0,0,,0,{},1,"{""domain_helper"": 1}",helper_mediated,no_ui_workflow_evidence,helper_mediated,deterministic_llm_guard,"[{""source"": ""helper_calls"", ""count"": 1}]",[],correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
surveyjs/survey-library,3e9d585bba39fc546fe8228f417b734c,Playwright,1,8,framework_selector_object,2,"{""assertion_retry_wait"": 1, ""predicate_or_custom_condition"": 1}",5,"{""domain_helper"": 5}",helper_mediated,dominant_source:helper_ui,helper_mediated,deterministic,"[{""source"": ""test_body_ui"", ""count"": 4}, {""source"": ""helper_ui"", ""count"": 4}, {""source"": ""helper_calls"", ""count"": 1}]","[{""count"": 4, ""share"": 0.5, ""source"": ""helper_ui""}, {""count"": 4, ""share"": 0.5, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
surveyjs/survey-library,e2164cb538bfd16711d03a9fcd09b6a0,Playwright,1,5,custom_locator_helper,4,"{""predicate_or_custom_condition"": 1, ""assertion_retry_wait"": 3}",8,"{""domain_helper"": 8}",helper_mediated,dominant_source:helper_ui,helper_mediated,deterministic,"[{""source"": ""helper_ui"", ""count"": 5}, {""source"": ""helper_calls"", ""count"": 3}]","[{""count"": 5, ""share"": 1.0, ""source"": ""helper_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
surveyjs/survey-library,24e1ac5cbc898a4df6cb2c88942ca7ba,Playwright,1,8,framework_selector_object,3,"{""assertion_retry_wait"": 2, ""predicate_or_custom_condition"": 1}",5,"{""domain_helper"": 5}",helper_mediated,dominant_source:helper_ui,helper_mediated,deterministic,"[{""source"": ""test_body_ui"", ""count"": 4}, {""source"": ""helper_ui"", ""count"": 4}, {""source"": ""helper_calls"", ""count"": 1}]","[{""count"": 4, ""share"": 0.5, ""source"": ""helper_ui""}, {""count"": 4, ""share"": 0.5, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
uber/baseweb,11295034b6a9345fd1bbb4be5ea35ac6,Playwright,0,2,,1,"{""element_state_wait"": 1}",2,"{""domain_helper"": 2}",helper_mediated,dominant_source:helper_ui,helper_mediated,deterministic,"[{""source"": ""helper_ui"", ""count"": 2}]","[{""count"": 2, ""share"": 1.0, ""source"": ""helper_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
CopilotKit/CopilotKit,b854725b7452298bcaa53f35684dc617,Playwright,1,2,text_content,1,"{""assertion_retry_wait"": 1}",0,{},hook_or_fixture_centric,dominant_source:hook_ui,hook_or_fixture_centric,deterministic,"[{""source"": ""test_body_ui"", ""count"": 1}, {""source"": ""hook_ui"", ""count"": 1}]","[{""count"": 1, ""share"": 0.5, ""source"": ""hook_ui""}, {""count"": 1, ""share"": 0.5, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
cloudtogo/pageplug,ec45b622ed29998c26cb104f56852a06,Cypress,45,52,custom_locator_helper,39,"{""fixed_delay"": 20, ""network_wait"": 4, ""assertion_retry_wait"": 15}",71,"{""cypress_custom_command"": 66, ""domain_helper"": 5}",hook_or_fixture_centric,dominant_source:hook_ui,hook_or_fixture_centric,deterministic,"[{""source"": ""hook_ui"", ""count"": 39}, {""source"": ""cypress_command_ui"", ""count"": 13}, {""source"": ""helper_calls"", ""count"": 1}]","[{""count"": 39, ""share"": 0.75, ""source"": ""hook_ui""}, {""count"": 13, ""share"": 0.25, ""source"": ""cypress_command_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
cloudtogo/pageplug,29660a9643dd926d5a6213f53c6a86ec,Cypress,39,46,css_selector,36,"{""fixed_delay"": 13, ""assertion_retry_wait"": 17, ""network_wait"": 6}",57,"{""domain_helper"": 4, ""cypress_custom_command"": 53}",hook_or_fixture_centric,dominant_source:hook_ui,hook_or_fixture_centric,deterministic,"[{""source"": ""hook_ui"", ""count"": 39}, {""source"": ""cypress_command_ui"", ""count"": 7}, {""source"": ""helper_calls"", ""count"": 2}]","[{""count"": 39, ""share"": 0.847826, ""source"": ""hook_ui""}, {""count"": 7, ""share"": 0.152174, ""source"": ""cypress_command_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
taiga-family/maskito,861e3eeaf28fcb4e72dc40388a9d150e,Cypress,3,4,css_selector,4,"{""assertion_retry_wait"": 4}",2,"{""cypress_custom_command"": 2}",hook_or_fixture_centric,dominant_source:hook_ui,hook_or_fixture_centric,deterministic,"[{""source"": ""test_body_ui"", ""count"": 2}, {""source"": ""hook_ui"", ""count"": 2}]","[{""count"": 2, ""share"": 0.5, ""source"": ""hook_ui""}, {""count"": 2, ""share"": 0.5, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
SonicJs-Org/sonicjs,17eea3999fa1bbe6015d58fda401c038,Playwright,6,16,framework_selector_object,19,"{""navigation_or_load_wait"": 9, ""assertion_retry_wait"": 9, ""fixed_delay"": 1}",10,"{""domain_helper"": 10}",hook_or_fixture_centric,dominant_source:hook_ui,hook_or_fixture_centric,deterministic,"[{""source"": ""hook_ui"", ""count"": 10}, {""source"": ""test_body_ui"", ""count"": 6}, {""source"": ""helper_calls"", ""count"": 1}]","[{""count"": 10, ""share"": 0.625, ""source"": ""hook_ui""}, {""count"": 6, ""share"": 0.375, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
midas-research/audino,b0c282d7e0534b2d2fc793d7ab584130,Cypress,21,21,text_content,9,"{""assertion_retry_wait"": 9}",19,"{""cypress_custom_command"": 19}",hook_or_fixture_centric,dominant_source:hook_ui,hook_or_fixture_centric,deterministic,"[{""source"": ""hook_ui"", ""count"": 18}, {""source"": ""test_body_ui"", ""count"": 3}]","[{""count"": 18, ""share"": 0.857143, ""source"": ""hook_ui""}, {""count"": 3, ""share"": 0.142857, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
appsmithorg/appsmith,ce4da0757d49786ca28077e0678683a3,Cypress,43,50,css_selector,34,"{""fixed_delay"": 14, ""assertion_retry_wait"": 16, ""network_wait"": 4}",62,"{""unresolved_helper"": 1, ""cypress_custom_command"": 56, ""domain_helper"": 5}",hook_or_fixture_centric,dominant_source:hook_ui,hook_or_fixture_centric,deterministic,"[{""source"": ""hook_ui"", ""count"": 39}, {""source"": ""cypress_command_ui"", ""count"": 7}, {""source"": ""test_body_ui"", ""count"": 4}, {""source"": ""helper_calls"", ""count"": 3}, {""source"": ""unresolved_helper_calls"", ""count"": 1}]","[{""count"": 39, ""share"": 0.78, ""source"": ""hook_ui""}, {""count"": 7, ""share"": 0.14, ""source"": ""cypress_command_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
midas-research/audino,6202f06f11d9e3e1c2b72d919feaaa6e,Cypress,170,171,css_selector,35,"{""assertion_retry_wait"": 35}",193,"{""cypress_custom_command"": 193}",hook_or_fixture_centric,dominant_source:hook_ui,hook_or_fixture_centric,deterministic,"[{""source"": ""hook_ui"", ""count"": 169}, {""source"": ""test_body_ui"", ""count"": 2}]","[{""count"": 169, ""share"": 0.988304, ""source"": ""hook_ui""}, {""count"": 2, ""share"": 0.011696, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
midas-research/audino,0f5206d6f685ad275b5123ef20f5bda5,Cypress,75,76,css_selector,21,"{""assertion_retry_wait"": 21}",77,"{""unresolved_helper"": 3, ""cypress_custom_command"": 74}",hook_or_fixture_centric,dominant_source:hook_ui,hook_or_fixture_centric,deterministic,"[{""source"": ""hook_ui"", ""count"": 59}, {""source"": ""test_body_ui"", ""count"": 17}, {""source"": ""unresolved_helper_calls"", ""count"": 3}]","[{""count"": 59, ""share"": 0.776316, ""source"": ""hook_ui""}, {""count"": 17, ""share"": 0.223684, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
apache/superset,ffdcb532dd921ef02f2189eb35fc432f,Cypress,1,3,css_selector,1,"{""assertion_retry_wait"": 1}",6,"{""domain_helper"": 2, ""cypress_custom_command"": 4}",hook_or_fixture_centric,dominant_source:hook_ui,hook_or_fixture_centric,deterministic,"[{""source"": ""hook_ui"", ""count"": 2}, {""source"": ""helper_calls"", ""count"": 2}, {""source"": ""test_body_ui"", ""count"": 1}]","[{""count"": 2, ""share"": 0.666667, ""source"": ""hook_ui""}, {""count"": 1, ""share"": 0.333333, ""source"": ""test_body_ui""}]",correct,n/a,Workflow archetype agrees with dominant-source/evidence summary.,,false,,,
