sample_origin,repo,test_id,framework,source_file,line,name,raw_code,category,navigation_target,navigation_target_evidence_basis,manual_target_ok,manual_basis_ok,manual_notes
navigation_target_stratified,taiga-family/maskito,055b6fcabc6c7a6681d58991f0ca4346,Cypress,projects/demo-integrations/src/tests/kit/date-range/date-range-mode.cy.ts,49,cy.visit,cy.visit(`/${DemoPath.DateRange}/API?mode=yyyy%2Fmm%2Fdd`),navigation,,dynamic_template_literal,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,mattermost/mattermost,b5b813bcf72e3460822aa2dea5a23c4b,Cypress,e2e-tests/cypress/tests/integration/channels/collapsed_reply_threads/global_threads_spec.ts,69,cy.visit,cy.visit(`/${testTeam.name}/channels/${testChannel.name}`),navigation,,dynamic_template_literal,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,taiga-family/maskito,23cff27bf6b916813d53f4b16fffe135,Cypress,projects/demo-integrations/src/tests/kit/time/time-basic.cy.ts,9,cy.visit,cy.visit(`/${DemoPath.Time}/API?mode=HH:MM`),navigation,,dynamic_template_literal,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,otterscan/otterscan,d2a23f07c0f9300f3e9b870272fff12e,Cypress,cypress/e2e/devnet/verified-contracts.cy.ts,16,cy.visit,"cy.visit(""/address/"" + txReceipt.contractAddress + ""/readContract"")",navigation,"/address/"" + txReceipt.contractAddress + ""/readContract",navigation_api_literal_arg,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,cloudtogo/pageplug,0b437ec2e08f9752609cceef26efec29,Cypress,app/client/cypress/support/commands.js,194,cy.visit,"cy.visit({
    method: ""POST"",
    url: ""api/v1/login"",
    headers: {
      origin: baseURL,
    },
    followRedirect: true,
    body: {
      username: uname,
      password: pword,
    },
    timeout: 60000,
  })",navigation,,not_extractable,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,marmelab/react-admin,c537f0209377e6edc0c337802f2eaca1,Cypress,cypress/support/ShowPage.js,14,cy.visit,cy.visit(url),navigation,,not_extractable,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,cloudtogo/pageplug,86e191351f51da0832fcc8f21974a466,Cypress,app/client/cypress/support/e2e.js,75,cy.visit,cy.visit(RapidMode.url()),navigation,,not_extractable,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,cloudtogo/pageplug,290e1547127f4a8147719d15cfd7783a,Cypress,app/client/cypress/support/e2e.js,93,cy.visit,"cy.visit(""/setup/welcome"", { timeout: 60000 })",navigation,/setup/welcome,string_literal_arg_ast,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,cloudtogo/pageplug,60b839128e722266c9d2e08d935b5843,Cypress,app/client/cypress/support/e2e.js,93,cy.visit,"cy.visit(""/setup/welcome"", { timeout: 60000 })",navigation,/setup/welcome,string_literal_arg_ast,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,Monogatari/Monogatari,ecfcd0fbfec0d9bfde9d179685aa719c,Cypress,cypress/support/commands.js,28,cy.visit,cy.visit ('./dist/index.html'),navigation,./dist/index.html,string_literal_arg_ast,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,keystonejs/keystone,2d977c21638cf8ceae9cdfcb51ce1ac2,Playwright,tests/admin-ui-tests/relations.test.ts,44,page.goto,page.goto(`http://localhost:3000/tasks/${result.data.createTask.id}`),navigation,,dynamic_template_literal,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,documenso/documenso,829dd89e7ed2db70e5faec3525858528,Playwright,packages/app-tests/e2e/organisations/manage-organisation.spec.ts,349,page.goto,page.goto(`/t/${teamA}/settings/groups`),navigation,,dynamic_template_literal,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,OHIF/Viewers,465f4539437a82900771b3ccb0c86ed6,Playwright,tests/utils/visitStudy.ts,21,page.goto,page.goto(`/${mode}/${datasources}?StudyInstanceUIDs=${studyInstanceUID}`),navigation,,dynamic_template_literal,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,WeCodePixels/theia-sticky-sidebar,c2a90b04a3f53c8aec61de27be47896b,Playwright,tests/main.spec.ts,14,page.goto,page.goto('/examples/' + url + '.html'),navigation,/examples/' + url + '.html,navigation_api_literal_arg,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,payloadcms/payload,54c402cb9c43733553fd90cb7fb795b5,Playwright,test/admin/e2e/list-view/e2e.spec.ts,1204,page.goto,page.goto(postsUrl.list),navigation,,not_extractable,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,payloadcms/payload,7932ed4b65332f322f9dd34fc1fd6498,Playwright,test/versions/e2e.spec.ts,1776,page.goto,page.goto(autosaveWithDraftValidateURL.create),navigation,,not_extractable,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,jupyterlab/jupyterlab,820ced2b8b6b5e552a79083498f00e0a,Playwright,galata/test/jupyterlab/menus.test.ts,31,page.goto,page.goto(),navigation,,not_extractable,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,SonicJs-Org/sonicjs,79f0721deb50801da31596b9ed94c59e,Playwright,tests/e2e/utils/test-helpers.ts,346,page.goto,page.goto('/auth/login'),navigation,/auth/login,string_literal_arg_ast,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,refactoringhq/tolaria,1b410349e4a4674fc1f19c61a86683b7,Playwright,e2e/core-flows.spec.ts,4,page.goto,page.goto('/'),navigation,/,string_literal_arg_ast,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,SonicJs-Org/sonicjs,1522211f9c76bd5e08fe37326506b6ca,Playwright,tests/e2e/11-media-create-folder.spec.ts,7,page.goto,page.goto('/admin/media'),navigation,/admin/media,string_literal_arg_ast,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,swaponline/MultiCurrencyWallet,f53b673ffb0c39765bf9e27b5533f1fb,Puppeteer,tests/e2e/appsSmoke.test.js,361,page.goto,page.goto(`${url}#/apps/${targetApp.id}`),navigation,,dynamic_template_literal,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,swaponline/MultiCurrencyWallet,9bc042aceb412f9482f79cb7d2080bc7,Puppeteer,tests/e2e/appsSmoke.test.js,225,page.goto,page.goto(`${url}#/apps/${app.id}`),navigation,,dynamic_template_literal,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,swaponline/MultiCurrencyWallet,cf6503ba3eaac1698ab95e1938fa681f,Puppeteer,tests/e2e/history.test.ts,19,page.goto,page.goto(`${page.url()}history`),navigation,,dynamic_template_literal,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,swaponline/MultiCurrencyWallet,cf6503ba3eaac1698ab95e1938fa681f,Puppeteer,tests/e2e/utils.ts,42,page.goto,page.goto(link),navigation,,not_extractable,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,synyi/poplar,240896e7c5fd442176eeee91b0542e6f,Puppeteer,src/Test/e2e.ts,128,page.goto,page.goto('http://localhost:8080'),navigation,http://localhost:8080,string_literal_arg_ast,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,synyi/poplar,2f7b3c3b313b375bfa6b6e2c4003ae30,Puppeteer,src/Test/e2e.ts,68,page.goto,page.goto('http://localhost:8080'),navigation,http://localhost:8080,string_literal_arg_ast,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,synyi/poplar,ddf7c51979751fb446b5a9412057a00c,Puppeteer,src/Test/e2e.ts,84,page.goto,page.goto('http://localhost:8080'),navigation,http://localhost:8080,string_literal_arg_ast,correct,correct,Navigation target and evidence basis are acceptable.
navigation_target_stratified,WebThingsIO/gateway,09405a4beec3d3668de2a2c3fb2c684d,WebDriverIO,src/test/browser/load-test.ts,19,browser.url,browser.url('/'),navigation,/,string_literal_arg_ast,correct,correct,Navigation target and evidence basis are acceptable.
